filename,name,seq_run,seq_sample,rna_conc_qbit,box_id,animal_id,diet,diet_kcal,region,hemisphere,experiment_start,time_of_euthanasia,experiment_duration,bw_i_pre,bw_i,bw_f,bw_change,bw_change_pct,bw_change_pct_ph,fw_i,fw_f,kcal_intake,power_intake,notes
1_Chow_Hyp_both_S80,S0010_01_chow_HY,0010,S80,73.6,34,1,chow,3227,HY,both,2019-01-29T16:26:00Z,2019-01-30T08:26:00Z,16,NA,23.4,24.6,1.2000000000000028,0.051282051282051405,0.003205128205128213,741.7,734.4,11778.55000000011,736.1593750000069,NA
2_Chow_Hyp_both_S44,S0010_02_chow_HY,0010,S44,27.2,34,2,chow,3227,HY,both,2019-01-29T16:26:00Z,2019-01-30T08:36:00Z,16.166666666666668,NA,25.9,26,0.10000000000000142,0.003861003861003916,2.3882498109302572e-4,741.7,734.4,11778.55000000011,728.5701030927903,NA
3_Chow_Hyp_both_S78,S0010_03_chow_HY,0010,S78,6.36,35,3,chow,3227,HY,both,2019-01-29T17:31:00Z,2019-01-30T09:31:00Z,16,NA,26.2,26.4,0.1999999999999993,0.007633587786259515,4.770992366412197e-4,743.5,735.3,13230.700000000073,826.9187500000046,NA
4_Chow_Hyp_both_S25,S0010_04_chow_HY,0010,S25,20.8,35,4,chow,3227,HY,both,2019-01-29T17:31:00Z,2019-01-30T09:41:00Z,16.166666666666668,NA,23.5,24,0.5,0.02127659574468085,0.0013160780872998464,743.5,735.3,13230.700000000073,818.3938144329942,NA
5_Chow_Hyp_both_S84,S0010_05_chow_HY,0010,S84,20.4,36,5,chow,3227,HY,both,2019-01-29T18:27:00Z,2019-01-30T10:27:00Z,16,NA,24.7,24.4,-0.3000000000000007,-0.01214574898785428,-7.591093117408925e-4,713.6,706.4,11617.200000000073,726.0750000000046,NA
6_Chow_Hyp_both_S66,S0010_06_chow_HY,0010,S66,10.6,36,6,chow,3227,HY,both,2019-01-29T18:27:00Z,2019-01-30T10:33:00Z,16.1,NA,25.9,27,1.1000000000000014,0.042471042471042525,0.002637952948511958,713.6,706.4,11617.200000000073,721.5652173913088,NA
1_Chow_Hip_left_S17,S0010_01_chow_HPF,0010,S17,17.6,34,1,chow,3227,HPF,left,2019-01-29T16:26:00Z,2019-01-30T08:26:00Z,16,NA,23.4,24.6,1.2000000000000028,0.051282051282051405,0.003205128205128213,741.7,734.4,11778.55000000011,736.1593750000069,NA
2_Chow_Hip_left_S71,S0010_02_chow_HPF,0010,S71,38.8,34,2,chow,3227,HPF,left,2019-01-29T16:26:00Z,2019-01-30T08:36:00Z,16.166666666666668,NA,25.9,26,0.10000000000000142,0.003861003861003916,2.3882498109302572e-4,741.7,734.4,11778.55000000011,728.5701030927903,NA
3_Chow_Hip_left_S4,S0010_03_chow_HPF,0010,S4,44.6,35,3,chow,3227,HPF,left,2019-01-29T17:31:00Z,2019-01-30T09:31:00Z,16,NA,26.2,26.4,0.1999999999999993,0.007633587786259515,4.770992366412197e-4,743.5,735.3,13230.700000000073,826.9187500000046,NA
4_Chow_Hip_right_S68,S0010_04_chow_HPF,0010,S68,25.6,35,4,chow,3227,HPF,right,2019-01-29T17:31:00Z,2019-01-30T09:41:00Z,16.166666666666668,NA,23.5,24,0.5,0.02127659574468085,0.0013160780872998464,743.5,735.3,13230.700000000073,818.3938144329942,NA
